tree_id,node_id,is_leave,split_feature,threshold,children,correctPredictions,correctPredictionsClassesCounts,wrongPredictions
3,48,True,"","","",35,"1;35","7;0;1;7"
3,49,True,"","","",1,"3;1","0"
3,50,True,"","","",2,"0;2","0"
3,51,False,"Ca Calcium",8.71,"52;59",35,"5;3;1;4;0;28","4;0;1;2;1;0;2"
3,52,False,"Fe Iron",0.25,"53;58",32,"1;4;0;28","4;0;1;2;1;0;2"
3,53,False,"Ca Calcium",8.33,"54;55",31,"1;3;0;28","3;0;1;1;1;0;2"
3,54,True,"","","",26,"0;26","2;1;0;2"
3,55,False,"Si Silicon",72.62,"56;57",5,"1;3;0;2","1;0;1;1"
3,56,True,"","","",2,"0;2","0"
3,57,True,"","","",3,"1;3","1;0;1;1"
3,58,True,"","","",1,"1;1","1;0;1;1"
3,59,True,"","","",3,"5;3","0"
3,60,False,"Na Sodium",14.11,"61;66",35,"3;23;2;5;0;7","8;0;3;1;4;3;1;3;2;3;5;0;1;2;0;2"
3,61,False,"K Potassium",0.89,"62;65",12,"2;5;0;7","6;3;2;3;5;0;1;2;0;2"
3,62,False,"K Potassium",0.55,"63;64",8,"0;7;2;1","5;5;0;1;2;0;2;3;2;2"
3,63,True,"","","",1,"2;1","2;3;2;2"
3,64,True,"","","",7,"0;7","3;5;0;1;2;0;2"
3,65,True,"","","",4,"2;4","1;3;2;1"
3,66,True,"","","",23,"3;23","2;0;3;1;4;3;1"
4,0,False,"Ba Barium",0.20,"1;60",184,"3;24;2;11;0;64;5;13;1;63;4;9","30;1;2;1;5;1;0;5;0;2;1;5;5;1;6;3;2;3;1;1;0;1;5;0;2;1;2;2;0;2"
4,1,False,"Mg Magnesium",2.61,"2;13",157,"5;13;0;63;1;63;2;9;4;9","26;0;5;5;1;6;1;5;1;0;5;5;0;2;1;2;3;1;1;0;1;2;1;2;0;2"
4,2,False,"K Potassium",0.03,"3;6",29,"0;11;2;9;4;9","4;2;0;2;3;0;1;2;1"
4,3,False,"Na Sodium",13.76,"4;5",12,"4;9;0;3","0"
4,4,True,"","","",3,"0;3","0"
4,5,True,"","","",9,"4;9","0"
4,6,False,"Refractive Index",1.52,"7;12",17,"0;8;2;9","4;2;0;2;3;0;1;2;1"
4,7,False,"K Potassium",0.53,"8;11",11,"2;9;0;2","2;3;2;1;2;0;1"
4,8,False,"Fe Iron",0.09,"9;10",6,"0;2;2;4","1;2;0;1"
